ID,op_status,total_funding_usd,funding_rounds,first_funding_date,last_funding_date,num_investors,funding_duration,first_funding_utc,last_funding_utc,successful_investment
7572,acquired,650000,3,01-02-2009,20-12-2012,9,1418,14276,15694,1
7573,operating,14583776,1,06-03-2013,06-03-2013,4,0,15770,15770,0
7574,operating,43000000,2,23-08-2012,18-06-2014,4,664,15575,16239,0
7575,acquired,,2,24-01-2011,11-06-2012,5,504,14998,15502,1
7576,operating,29000000,2,04-12-2013,20-11-2015,2,716,16043,16759,0
7577,operating,600000,1,11-09-2014,11-09-2014,1,0,16324,16324,0
7578,operating,987500,1,21-08-2013,21-08-2013,1,0,15938,15938,0
7579,operating,9750000,4,04-11-2010,13-04-2015,8,1621,14917,16538,0
7580,operating,1340000,4,26-11-2013,01-06-2015,2,552,16035,16587,0
7581,operating,400000,1,16-05-2012,16-05-2012,1,0,15476,15476,0
7582,acquired,,1,14-06-2011,14-06-2011,1,0,15139,15139,1
7583,acquired,50000000,1,28-03-2007,28-03-2007,6,0,13600,13600,1
7584,ipo,54100002,5,13-02-2006,30-10-2014,7,3181,13192,16373,1
7585,operating,501642500,4,04-10-2010,14-05-2013,8,953,14886,15839,0
7586,operating,5000000,1,17-10-2013,17-10-2013,1,0,15995,15995,0
7587,operating,4500000,1,18-01-2006,18-01-2006,5,0,13166,13166,0
7588,operating,109565.8271,1,01-06-2015,01-06-2015,2,0,16587,16587,0
7589,closed,1200000,1,01-09-2010,01-09-2010,1,0,14853,14853,0
7590,operating,,1,05-08-2014,05-08-2014,2,0,16287,16287,0
7591,operating,1050000,3,05-01-2012,05-08-2013,1,578,15344,15922,0
7592,operating,942902,1,01-06-2012,01-06-2012,1,0,15492,15492,0
7593,acquired,93708653,10,01-08-2000,13-12-2012,30,4517,11170,15687,1
7594,operating,142716,1,14-07-2007,14-07-2007,1,0,13708,13708,0
7595,operating,,1,30-07-2015,30-07-2015,2,0,16646,16646,0
7596,operating,2000000,1,26-08-2014,26-08-2014,1,0,16308,16308,0
7597,operating,245750000,6,28-04-2011,07-10-2015,18,1623,15092,16715,0
7598,operating,10746748,4,05-10-2004,17-08-2011,4,2507,12696,15203,0
7599,operating,,1,28-02-2014,28-02-2014,1,0,16129,16129,0
7600,operating,3360000,1,28-03-2008,28-03-2008,2,0,13966,13966,0
7601,closed,,1,30-06-2015,30-06-2015,1,0,16616,16616,0
7602,acquired,4332943,5,14-04-2010,27-05-2014,19,1504,14713,16217,1
7603,operating,3530000,1,21-12-2006,21-12-2006,2,0,13503,13503,0
7604,operating,5463000,3,31-05-2012,10-02-2015,6,985,15491,16476,0
7605,acquired,8000000,1,01-01-2009,01-01-2009,2,0,14245,14245,1
7606,operating,20000000,1,24-09-2007,24-09-2007,1,0,13780,13780,0
7607,operating,50000,1,15-09-2014,15-09-2014,1,0,16328,16328,0
7608,operating,24909310,2,01-09-2000,01-01-2001,1,122,11201,11323,0
7609,operating,118000,1,23-03-2015,23-03-2015,1,0,16517,16517,0
7610,closed,15000000,1,24-09-2001,24-09-2001,6,0,11589,11589,0
7611,operating,20000,1,05-08-2014,05-08-2014,1,0,16287,16287,0
7612,operating,1950000,2,20-11-2010,12-06-2012,2,570,14933,15503,0
7613,operating,15000000,2,29-03-2015,29-04-2015,4,31,16523,16554,0
7614,operating,110000,1,01-09-2013,01-09-2013,1,0,15949,15949,0
7615,operating,81057005,4,21-03-2010,19-07-2015,11,1946,14689,16635,0
7616,operating,88100000,5,14-04-2010,03-03-2015,11,1784,14713,16497,0
7617,operating,500000,3,01-07-2012,13-11-2014,11,865,15522,16387,0
7618,operating,248648,2,01-04-2013,01-11-2013,3,214,15796,16010,0
7619,operating,,2,11-05-2015,15-10-2015,2,157,16566,16723,0
7620,operating,,1,18-04-2007,18-04-2007,1,0,13621,13621,0
7621,operating,,1,27-03-2015,27-03-2015,1,0,16521,16521,0
7622,operating,,1,01-08-2014,01-08-2014,1,0,16283,16283,0
7623,closed,445000,1,27-04-2011,27-04-2011,1,0,15091,15091,0
7624,acquired,,1,29-11-2011,29-11-2011,1,0,15307,15307,1
7625,operating,14800000,3,01-01-2012,15-09-2014,7,988,15340,16328,0
7626,operating,,1,30-09-2011,30-09-2011,1,0,15247,15247,0
7627,closed,250000,1,01-02-2000,01-02-2000,1,0,10988,10988,0
7628,operating,19620000,5,15-05-2011,03-03-2015,24,1388,15109,16497,0
7629,operating,4756612,1,06-04-2012,06-04-2012,1,0,15436,15436,0
7630,ipo,329000000,5,01-01-2006,09-07-2012,12,2381,13149,15530,1
7631,operating,3000000,2,11-04-2012,14-11-2014,5,947,15441,16388,0
7632,operating,,1,01-10-2011,01-10-2011,1,0,15248,15248,0
7633,operating,28234,1,10-06-2015,10-06-2015,1,0,16596,16596,0
7634,operating,15000,1,01-01-2014,01-01-2014,1,0,16071,16071,0
7635,operating,4324801.953,3,17-03-2012,07-08-2015,3,1238,15416,16654,0
7636,operating,25000,1,30-06-2014,30-06-2014,2,0,16251,16251,0
7637,operating,1200000,1,16-01-2014,16-01-2014,13,0,16086,16086,0
7638,operating,50000000,4,01-07-2010,01-07-2014,15,1461,14791,16252,0
7639,acquired,13020000,2,28-01-2003,01-04-2005,6,794,12080,12874,1
7640,operating,13834534,6,13-12-2010,14-03-2014,6,1187,14956,16143,0
7641,operating,182300,2,02-12-2013,25-03-2014,2,113,16041,16154,0
7642,operating,50000,1,23-10-2012,23-10-2012,1,0,15636,15636,0
7643,operating,1500000,2,08-03-2012,13-06-2012,1,97,15407,15504,0
7644,operating,20482500,2,13-08-2009,10-11-2014,3,1915,14469,16384,0
7645,operating,220000,2,01-08-2014,01-11-2014,3,92,16283,16375,0
7646,acquired,103030000,5,01-08-2000,08-05-2007,32,2471,11170,13641,1
7647,operating,311100000,8,21-07-2008,09-01-2015,30,2363,14081,16444,0
7648,operating,4500000,2,01-06-2012,16-09-2014,1,837,15492,16329,0
7649,operating,,1,06-07-1999,06-07-1999,1,0,10778,10778,0
7650,operating,,1,27-04-2012,27-04-2012,4,0,15457,15457,0
7651,ipo,6100000,2,12-11-2013,17-11-2014,1,370,16021,16391,1
7653,operating,,1,01-05-1995,01-05-1995,1,0,9251,9251,0
7654,acquired,,3,28-08-2007,04-02-2011,3,1256,13753,15009,1
7655,operating,56040950,4,09-02-2010,13-10-2014,1,1707,14649,16356,0
7656,operating,,1,01-11-2014,01-11-2014,1,0,16375,16375,0
7657,operating,11310000,1,25-01-2005,25-01-2005,3,0,12808,12808,0
7658,operating,13100000,3,14-05-2008,26-03-2015,4,2507,14013,16520,0
7659,operating,1253000,1,12-11-2008,12-11-2008,1,0,14195,14195,0
7660,operating,38000000,1,21-01-2010,21-01-2010,1,0,14630,14630,0
7661,operating,,1,15-01-2014,15-01-2014,1,0,16085,16085,0
7662,operating,2000000,1,16-11-2015,16-11-2015,1,0,16755,16755,0
7663,operating,20190000,1,31-03-2014,31-03-2014,1,0,16160,16160,0
7664,closed,45000000,1,12-11-2007,12-11-2007,2,0,13829,13829,0
7665,operating,3010248,1,01-10-2009,01-10-2009,1,0,14518,14518,0
7666,operating,45000000,1,18-02-2007,18-02-2007,4,0,13562,13562,0
7667,acquired,3500000,2,27-07-2011,01-08-2012,3,371,15182,15553,1
7668,operating,3300000,1,03-02-2015,03-02-2015,2,0,16469,16469,0
7669,acquired,22750000,3,01-05-2008,01-01-2011,6,975,14000,14975,1
7670,operating,70000000,1,28-09-2015,28-09-2015,1,0,16706,16706,0
7671,operating,200000000,1,23-12-2014,23-12-2014,1,0,16427,16427,0
7672,operating,10000000,1,01-02-2014,01-02-2014,2,0,16102,16102,0
7673,operating,20000,1,05-08-2014,05-08-2014,1,0,16287,16287,0
7674,acquired,10158510,4,03-05-2010,01-08-2013,1,1186,14732,15918,1
7675,operating,5000000,1,01-06-2007,01-06-2007,4,0,13665,13665,0
7676,closed,3500000,1,02-08-2007,02-08-2007,1,0,13727,13727,0
7677,operating,6800000,1,15-03-2012,15-03-2012,1,0,15414,15414,0
7678,closed,67751091,4,12-10-2001,01-01-2008,14,2272,11607,13879,0
7679,ipo,20000000,2,05-07-2011,24-01-2012,7,203,15160,15363,1
7680,operating,,1,01-01-2013,01-01-2013,1,0,15706,15706,0
7681,operating,,2,01-05-2013,01-12-2014,2,579,15826,16405,0
7682,operating,2486835,1,03-12-2014,03-12-2014,1,0,16407,16407,0
7683,acquired,78000000,4,01-01-2005,01-01-2008,10,1095,12784,13879,1
7684,operating,15810000,8,10-06-2010,10-06-2015,13,1826,14770,16596,0
7685,closed,15000,1,01-01-2011,01-01-2011,1,0,14975,14975,0
7686,operating,3000000,1,29-10-2012,29-10-2012,1,0,15642,15642,0
7687,operating,,1,01-04-2011,01-04-2011,2,0,15065,15065,0
7688,operating,86676,2,01-04-2012,01-04-2012,2,0,15431,15431,0
7689,operating,65000,2,01-03-2014,01-06-2014,2,92,16130,16222,0
7690,operating,629000,2,26-10-2011,01-04-2013,6,523,15273,15796,0
7691,acquired,9400000,2,09-01-2008,16-12-2009,2,707,13887,14594,1
7692,acquired,10000000,1,18-04-2005,18-04-2005,4,0,12891,12891,1
7693,operating,16500,1,30-07-2012,30-07-2012,1,0,15551,15551,0
7694,operating,675000,3,11-07-2014,18-08-2015,7,403,16262,16665,0
7695,operating,5397761,1,02-04-2015,02-04-2015,2,0,16527,16527,0
7696,acquired,162106599,5,04-02-2011,03-12-2014,13,1398,15009,16407,1
7697,operating,4000000,1,30-01-2012,30-01-2012,2,0,15369,15369,0
7698,operating,4575000,3,24-05-2007,13-08-2009,8,812,13657,14469,0
7699,operating,,1,21-09-2015,21-09-2015,1,0,16699,16699,0
7700,ipo,,1,01-06-1993,01-06-1993,1,0,8552,8552,1
7701,operating,385980,1,20-10-2013,20-10-2013,2,0,15998,15998,0
7702,operating,50250000,2,09-08-2007,02-10-2009,10,785,13734,14519,0
7703,operating,201777,2,01-01-2014,21-07-2014,3,201,16071,16272,0
7704,acquired,10810000,3,08-12-2009,16-10-2012,2,1043,14586,15629,1
7705,closed,29330000,4,13-02-2006,07-07-2011,5,1970,13192,15162,0
7706,operating,,1,04-05-2015,04-05-2015,1,0,16559,16559,0
7707,acquired,,1,20-06-2007,20-06-2007,1,0,13684,13684,1
7708,operating,290000000,11,01-03-2006,09-11-2014,23,3175,13208,16383,0
7709,operating,12500,1,01-07-2014,01-07-2014,1,0,16252,16252,0
7710,acquired,900001,1,22-04-2013,22-04-2013,3,0,15817,15817,1
7711,acquired,9000000,3,01-09-2006,01-10-2008,4,761,13392,14153,1
7712,operating,12000000,1,08-08-2001,08-08-2001,3,0,11542,11542,0
7713,operating,,1,01-08-2011,01-08-2011,1,0,15187,15187,0
7714,operating,,1,08-01-2006,08-01-2006,1,0,13156,13156,0
7715,operating,140000,3,07-01-2012,10-10-2013,2,642,15346,15988,0
7716,operating,5278800,1,07-03-2005,07-03-2005,4,0,12849,12849,0
7717,operating,7154375,6,19-01-2012,13-11-2015,7,1394,15358,16752,0
7718,acquired,200000000,1,01-12-2002,01-12-2002,1,0,12022,12022,1
7719,closed,14000,1,01-06-2010,01-06-2010,1,0,14761,14761,0
7720,operating,10000000,3,26-01-2005,26-04-2007,7,820,12809,13629,0
7721,operating,2324761,3,15-08-2013,12-12-2014,1,484,15932,16416,0
7722,operating,1794902,1,28-09-2005,28-09-2005,2,0,13054,13054,0
7723,operating,30000,1,01-11-2015,01-11-2015,1,0,16740,16740,0
7724,operating,934725004,10,21-07-2008,20-02-2013,31,1675,14081,15756,0
7725,operating,3840300,1,13-09-2010,13-09-2010,1,0,14865,14865,0
7726,operating,250000,1,15-01-2015,15-01-2015,1,0,16450,16450,0
7727,operating,2000000,1,01-02-2013,01-02-2013,4,0,15737,15737,0
7728,closed,7000000,1,15-05-2008,15-05-2008,1,0,14014,14014,0
7729,operating,27000000,3,13-08-2013,18-12-2014,12,492,15930,16422,0
7730,acquired,23000000,6,01-07-2004,01-06-2011,11,2526,12600,15126,1
7731,operating,,1,11-07-2014,11-07-2014,5,0,16262,16262,0
7732,acquired,10000000,1,07-07-2005,07-07-2005,4,0,12971,12971,1
7733,operating,25000,1,26-10-2011,26-10-2011,1,0,15273,15273,0
7734,operating,,1,17-08-2007,17-08-2007,1,0,13742,13742,0
7735,operating,16500000,4,01-10-2009,13-06-2013,17,1351,14518,15869,0
7736,operating,25000,1,12-05-2011,12-05-2011,1,0,15106,15106,0
7737,operating,9300000,1,10-03-2015,10-03-2015,6,0,16504,16504,0
7738,operating,1400000,1,01-08-2012,01-08-2012,1,0,15553,15553,0
7739,operating,2100000,1,01-06-2013,01-06-2013,1,0,15857,15857,0
7740,operating,10000000,1,29-08-2011,29-08-2011,1,0,15215,15215,0
7741,operating,7970000,2,07-10-2010,07-07-2011,2,273,14889,15162,0
7742,operating,27000000,3,01-01-2007,16-10-2012,7,2115,13514,15629,0
7743,operating,12300000,3,01-01-2011,13-11-2012,2,682,14975,15657,0
7744,operating,2380000,4,15-07-2012,22-05-2014,20,676,15536,16212,0
7745,acquired,,2,01-02-2012,01-08-2012,8,182,15371,15553,1
7746,operating,5530000,1,23-09-2003,23-09-2003,4,0,12318,12318,0
7747,operating,9000000,1,02-07-2015,02-07-2015,1,0,16618,16618,0
7748,operating,1300000,1,17-08-2015,17-08-2015,6,0,16664,16664,0
7749,operating,2334978,3,26-09-2013,17-08-2015,5,690,15974,16664,0
7750,operating,13000000,1,10-01-2001,10-01-2001,6,0,11332,11332,0
7751,operating,,1,21-09-2009,21-09-2009,2,0,14508,14508,0
7752,operating,98347,1,07-02-2012,07-02-2012,1,0,15377,15377,0
7753,ipo,40200000,2,01-06-2003,03-03-2005,4,641,12204,12845,1
7754,closed,100000,1,05-10-2014,05-10-2014,1,0,16348,16348,0
7755,operating,75000000,1,17-03-2014,17-03-2014,1,0,16146,16146,0
7756,operating,120000,1,01-12-2014,01-12-2014,3,0,16405,16405,0
7757,operating,,1,02-08-2005,02-08-2005,1,0,12997,12997,0
7758,operating,,1,02-05-2012,02-05-2012,1,0,15462,15462,0
7759,closed,25000,1,26-06-2009,26-06-2009,1,0,14421,14421,0
7760,ipo,56800000,3,20-01-2010,28-10-2015,1,2107,14629,16736,1
7761,operating,150000,1,01-01-2012,01-01-2012,1,0,15340,15340,0
7762,operating,,1,27-03-2001,27-03-2001,1,0,11408,11408,0
7763,operating,6299999,2,25-09-2006,19-01-2012,1,1942,13416,15358,0
7764,operating,1130000,1,26-06-2008,26-06-2008,5,0,14056,14056,0
7765,closed,,1,01-01-2012,01-01-2012,1,0,15340,15340,0
7766,acquired,128000000,1,01-05-2007,01-05-2007,1,0,13634,13634,1
7767,acquired,1500000,1,01-03-2005,01-03-2005,2,0,12843,12843,1
7768,operating,,1,11-09-2013,11-09-2013,2,0,15959,15959,0
7769,closed,600000,1,01-05-2007,01-05-2007,1,0,13634,13634,0
7770,acquired,,1,08-03-2013,08-03-2013,2,0,15772,15772,1
7771,operating,93500000,5,26-04-2006,20-06-2011,19,1881,13264,15145,0
7772,operating,,1,07-01-2014,07-01-2014,1,0,16077,16077,0
7773,operating,173000000,1,24-10-2015,24-10-2015,1,0,16732,16732,0
7774,operating,5000,1,25-10-2013,25-10-2013,1,0,16003,16003,0
7775,closed,,1,01-01-2006,01-01-2006,1,0,13149,13149,0
7776,operating,12160005,1,09-07-2001,09-07-2001,5,0,11512,11512,0
7777,acquired,250000,1,24-03-2005,24-03-2005,2,0,12866,12866,1
7778,operating,480000,1,20-02-2013,20-02-2013,1,0,15756,15756,0
7779,operating,1971750,1,27-01-2012,27-01-2012,1,0,15366,15366,0
7780,closed,4000000,1,01-11-2005,01-11-2005,1,0,13088,13088,0
7781,acquired,2700000,1,21-12-2006,21-12-2006,3,0,13503,13503,1
7782,operating,3000,1,01-12-2012,01-12-2012,1,0,15675,15675,0
7783,operating,,1,01-01-2014,01-01-2014,1,0,16071,16071,0
7784,operating,15400000,3,01-08-2013,23-09-2014,18,418,15918,16336,0
7785,ipo,212900000,6,02-04-2007,25-04-2013,34,2215,13605,15820,1
7786,operating,37194503,3,01-01-2012,01-12-2013,9,700,15340,16040,0
7787,operating,10000000,1,22-09-2014,22-09-2014,2,0,16335,16335,0
7788,operating,15007503,1,01-12-2010,01-12-2010,3,0,14944,14944,0
7789,closed,,1,18-03-2005,18-03-2005,1,0,12860,12860,0
7790,operating,289289,3,01-11-2013,01-10-2014,3,334,16010,16344,0
7791,operating,20700000,2,04-02-2002,19-04-2004,5,805,11722,12527,0
7792,operating,,1,30-11-2010,30-11-2010,1,0,14943,14943,0
7793,closed,100000,1,01-03-2012,01-03-2012,12,0,15400,15400,0
7794,ipo,173000000,7,01-04-2005,29-04-2014,34,3315,12874,16189,1
7795,operating,200000,1,06-08-2008,06-08-2008,1,0,14097,14097,0
7796,operating,4650000,2,03-02-2012,01-04-2013,2,423,15373,15796,0
7797,operating,19299,1,11-11-2013,11-11-2013,1,0,16020,16020,0
7798,operating,5000000,1,15-06-2005,15-06-2005,3,0,12949,12949,0
7799,operating,6000000,1,26-10-2001,26-10-2001,4,0,11621,11621,0
7800,closed,,1,30-06-2015,30-06-2015,1,0,16616,16616,0
7801,closed,4100000,2,15-12-2013,20-04-2015,3,491,16054,16545,0
7802,operating,3300000,4,01-12-2006,16-01-2009,7,777,13483,14260,0
7803,operating,6900000,2,02-12-2008,10-06-2010,6,555,14215,14770,0
7804,operating,74675009,4,14-06-2010,01-01-2012,19,566,14774,15340,0
7805,acquired,7000000,1,15-01-2002,15-01-2002,3,0,11702,11702,1
7806,operating,200000,1,09-09-2014,09-09-2014,1,0,16322,16322,0
7807,acquired,10790000,2,19-05-2005,29-03-2007,4,679,12922,13601,1
7808,acquired,16000000,1,20-07-2004,20-07-2004,5,0,12619,12619,1
7809,operating,9091508,1,19-12-2013,19-12-2013,1,0,16058,16058,0
7810,operating,25000,2,01-03-2013,06-03-2013,2,5,15765,15770,0
7811,operating,25000,1,01-08-2013,01-08-2013,1,0,15918,15918,0
7812,operating,17780090,2,28-09-2009,18-10-2011,3,750,14515,15265,0
7813,operating,40268814,5,08-08-2006,12-09-2012,14,2227,13368,15595,0
7814,operating,25775000,4,10-11-2008,18-12-2014,13,2229,14193,16422,0
7815,acquired,2000000,2,01-02-2010,12-04-2011,17,435,14641,15076,1
7816,closed,252040,1,21-11-2008,21-11-2008,5,0,14204,14204,0
7817,operating,150000,2,01-08-2014,01-04-2015,1,243,16283,16526,0
7818,operating,1496000,1,01-01-2012,01-01-2012,1,0,15340,15340,0
7819,operating,40000,1,13-02-2013,13-02-2013,1,0,15749,15749,0
7820,operating,,4,01-07-2013,01-01-2014,5,184,15887,16071,0
7821,operating,,1,01-01-2011,01-01-2011,1,0,14975,14975,0
7822,acquired,9250000,1,28-07-2003,28-07-2003,4,0,12261,12261,1
7823,operating,5000000,1,01-06-2013,01-06-2013,1,0,15857,15857,0
7824,operating,12000000,2,04-11-2008,27-04-2010,2,539,14187,14726,0
7825,operating,6698864,2,27-05-2014,24-09-2014,2,120,16217,16337,0
7826,operating,5500000,1,26-08-2013,26-08-2013,1,0,15943,15943,0
7827,operating,143431,3,01-09-2012,01-06-2013,3,273,15584,15857,0
7828,operating,5795661,3,06-09-2012,09-10-2014,1,763,15589,16352,0
7829,acquired,7510000,2,29-08-2007,23-07-2014,3,2520,13754,16274,1
7830,operating,20000000,1,11-08-2011,11-08-2011,1,0,15197,15197,0
7831,operating,10200000,1,14-03-2013,14-03-2013,2,0,15778,15778,0
7832,acquired,10000000,1,11-08-2006,11-08-2006,1,0,13371,13371,1
7833,ipo,2842048,1,09-03-2015,09-03-2015,1,0,16503,16503,1
7834,operating,118000,3,14-01-2013,04-05-2015,3,840,15719,16559,0
7835,operating,164744,1,01-02-2014,01-02-2014,1,0,16102,16102,0
7836,operating,500000,2,28-03-2013,07-09-2013,3,163,15792,15955,0
7837,operating,,1,30-07-2013,30-07-2013,9,0,15916,15916,0
7838,ipo,6000000,1,05-07-2005,05-07-2005,2,0,12969,12969,1
7839,acquired,71995394,5,08-12-2005,30-10-2012,8,2518,13125,15643,1
7840,operating,570000,2,01-09-2013,20-09-2013,1,19,15949,15968,0
7841,operating,11699999,3,20-08-2012,27-10-2015,15,1163,15572,16735,0
7842,ipo,11000000,1,29-01-2004,29-01-2004,3,0,12446,12446,1
7843,operating,200000,1,01-01-2010,01-01-2010,1,0,14610,14610,0
7844,operating,43720,1,05-06-2011,05-06-2011,1,0,15130,15130,0
7845,operating,,1,28-02-2012,28-02-2012,1,0,15398,15398,0
7846,operating,45685,1,07-05-2013,07-05-2013,1,0,15832,15832,0
7847,operating,,1,01-03-2013,01-03-2013,1,0,15765,15765,0
7848,operating,30000,1,01-01-2015,01-01-2015,1,0,16436,16436,0
7849,operating,7650000,1,15-01-2013,15-01-2013,2,0,15720,15720,0
7850,operating,,1,28-12-2011,28-12-2011,1,0,15336,15336,0
7851,operating,3300000,2,10-01-2015,02-10-2015,3,265,16445,16710,0
7852,operating,18000000,3,01-09-2012,01-06-2014,4,638,15584,16222,0
7853,operating,,2,08-05-2009,31-08-2010,3,480,14372,14852,0
7854,acquired,7100000,2,06-04-2009,10-06-2010,2,430,14340,14770,1
7855,operating,43587872,3,21-05-2014,25-09-2015,4,492,16211,16703,0
7856,operating,12850000,3,16-12-2013,28-07-2015,1,589,16055,16644,0
7857,closed,2721229.477,1,22-01-2007,22-01-2007,1,0,13535,13535,0
7858,operating,10000,1,18-06-2014,18-06-2014,1,0,16239,16239,0
7859,operating,120000,1,18-06-2015,18-06-2015,1,0,16604,16604,0
7860,operating,,1,01-03-2015,01-03-2015,1,0,16495,16495,0
7861,operating,,1,29-09-2015,29-09-2015,3,0,16707,16707,0
7862,operating,21160182,3,15-01-2014,22-07-2014,1,188,16085,16273,0
7863,operating,38000000,2,01-12-2003,21-03-2007,4,1206,12387,13593,0
7864,operating,27000000,3,01-05-2006,01-07-2007,8,426,13269,13695,0
7865,closed,225000,2,01-01-2012,01-09-2013,1,609,15340,15949,0
7866,operating,7000000,1,26-03-2015,26-03-2015,2,0,16520,16520,0
7867,operating,4099999,1,02-02-2015,02-02-2015,1,0,16468,16468,0
7868,operating,28952603,2,14-01-2013,25-11-2015,4,1045,15719,16764,0
7869,closed,,1,01-02-2012,01-02-2012,1,0,15371,15371,0
7870,closed,12500,1,01-08-2015,01-08-2015,1,0,16648,16648,0
7871,operating,,1,07-11-2014,07-11-2014,1,0,16381,16381,0
7872,operating,,1,01-03-2014,01-03-2014,3,0,16130,16130,0
7873,operating,,1,01-04-2008,01-04-2008,1,0,13970,13970,0
7874,operating,,1,01-02-2011,01-02-2011,1,0,15006,15006,0
7875,operating,1500000,2,01-09-2013,20-06-2014,7,292,15949,16241,0
7876,operating,800000,1,22-01-2015,22-01-2015,2,0,16457,16457,0
7877,acquired,15500000,2,01-07-2009,07-04-2010,6,280,14426,14706,1
7878,operating,,1,10-05-2012,10-05-2012,1,0,15470,15470,0
7879,acquired,26797546,4,22-05-2003,18-08-2010,14,2645,12194,14839,1
7880,operating,26671,2,14-02-2014,27-11-2014,3,286,16115,16401,0
7881,acquired,4415653,2,07-11-2012,01-07-2013,7,236,15651,15887,1
7882,operating,,1,28-12-2006,28-12-2006,1,0,13510,13510,0
7883,operating,420000,2,17-01-2012,20-08-2014,2,946,15356,16302,0
7884,operating,120000,1,01-06-2014,01-06-2014,3,0,16222,16222,0
7885,ipo,107000000,3,01-10-2009,12-02-2014,4,1595,14518,16113,1
7886,operating,607638,1,31-10-2012,31-10-2012,1,0,15644,15644,0
7887,operating,,1,10-08-2011,10-08-2011,1,0,15196,15196,0
7888,operating,614000,1,21-10-2015,21-10-2015,2,0,16729,16729,0
7889,closed,14000000,1,27-06-2008,27-06-2008,4,0,14057,14057,0
7890,operating,,1,01-01-2014,01-01-2014,1,0,16071,16071,0
7891,operating,,1,01-11-2011,01-11-2011,1,0,15279,15279,0
7892,ipo,116400000,8,01-03-2006,12-09-2011,20,2021,13208,15229,1
7893,operating,275000,2,23-10-2013,27-05-2014,1,216,16001,16217,0
7894,operating,20000000,1,01-03-2009,01-03-2009,1,0,14304,14304,0
7895,closed,750000,1,23-01-2012,23-01-2012,1,0,15362,15362,0
7896,operating,25000,1,01-12-2014,01-12-2014,1,0,16405,16405,0
7897,operating,80733,4,23-05-2013,01-02-2015,3,619,15848,16467,0
7898,operating,2930000,4,13-01-2011,04-08-2014,1,1299,14987,16286,0
7899,operating,179232,1,01-03-2011,01-03-2011,1,0,15034,15034,0
7900,operating,20000000,1,02-04-2015,02-04-2015,1,0,16527,16527,0
7901,operating,25078167,4,08-01-2010,27-03-2013,2,1174,14617,15791,0
7902,operating,31000000,3,04-03-2013,26-08-2014,7,540,15768,16308,0
7903,operating,371810,1,06-08-2012,06-08-2012,1,0,15558,15558,0
7904,closed,2200000,1,17-06-2009,17-06-2009,1,0,14412,14412,0
7905,operating,35000000,1,09-01-2015,09-01-2015,1,0,16444,16444,0
7906,operating,35800000,1,24-07-2013,24-07-2013,1,0,15910,15910,0
7907,operating,1800000,1,16-09-2014,16-09-2014,1,0,16329,16329,0
7908,operating,944823,3,01-01-2008,06-02-2012,1,1497,13879,15376,0
7909,operating,50000,1,01-01-2006,01-01-2006,1,0,13149,13149,0
7910,operating,3000000,1,03-03-2014,03-03-2014,1,0,16132,16132,0
7911,operating,10000000,1,01-08-2005,01-08-2005,2,0,12996,12996,0
7912,operating,124000000,3,01-08-2008,01-10-2011,5,1156,14092,15248,0
7913,acquired,,1,01-03-2011,01-03-2011,1,0,15034,15034,1
7914,acquired,4000000,1,23-01-2012,23-01-2012,2,0,15362,15362,1
7915,operating,500000,1,29-01-2003,29-01-2003,1,0,12081,12081,0
7916,operating,1600000,2,21-02-2011,06-08-2013,2,897,15026,15923,0
7917,operating,5650000,2,08-07-2013,01-02-2014,9,208,15894,16102,0
7918,operating,122738,2,01-11-2013,01-05-2014,2,181,16010,16191,0
7919,ipo,110000000,1,23-08-2007,23-08-2007,3,0,13748,13748,1
7920,closed,3496500,1,09-05-2012,09-05-2012,1,0,15469,15469,0
7921,operating,6700000,1,23-05-2006,23-05-2006,4,0,13291,13291,0
7922,operating,2297795,2,27-02-2014,08-06-2015,2,466,16128,16594,0
7923,closed,2600000,1,14-05-2004,14-05-2004,1,0,12552,12552,0
7924,operating,6671840,4,01-01-2012,01-05-2015,4,1216,15340,16556,0
7925,operating,9915755,1,29-09-2008,29-09-2008,1,0,14151,14151,0
7926,closed,300000,2,02-03-2012,01-04-2012,2,30,15401,15431,0
7927,operating,,1,09-10-2013,09-10-2013,1,0,15987,15987,0
7928,acquired,68500000,3,01-08-2006,23-10-2009,11,1179,13361,14540,1
7929,acquired,6000000,1,01-02-2007,01-02-2007,1,0,13545,13545,1
7930,operating,150000,1,01-01-2009,01-01-2009,1,0,14245,14245,0
7931,acquired,257944298,2,02-12-2010,29-07-2015,2,1700,14945,16645,1
7932,operating,4500000,3,15-11-2012,04-02-2015,16,811,15659,16470,0
7933,acquired,49500000,3,21-01-2004,21-07-2006,10,912,12438,13350,1
7934,operating,,1,11-11-2013,11-11-2013,1,0,16020,16020,0
7935,closed,,1,29-08-2007,29-08-2007,1,0,13754,13754,0
7936,closed,20000000,1,10-12-1999,10-12-1999,3,0,10935,10935,0
7937,operating,15000,1,12-02-2010,12-02-2010,1,0,14652,14652,0
7938,acquired,7600000,1,19-02-2001,19-02-2001,3,0,11372,11372,1
7939,operating,,1,05-05-2005,05-05-2005,1,0,12908,12908,0
7940,operating,7375157,1,20-07-2015,20-07-2015,2,0,16636,16636,0
7941,operating,,1,01-06-2012,01-06-2012,1,0,15492,15492,0
7942,operating,80900000,5,22-11-2002,29-04-2010,13,2715,12013,14728,0
7943,ipo,8858230,3,01-01-2001,13-01-2014,1,4760,11323,16083,1
